name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Kevin Clancy,Scotland,41,16,0,0,2,5
Allard Lindhout,Netherlands,38,20,0,0,2,5
Igor Pajac,Croatia,40,12,0,0,0,5
Juxhin Xhaja,Albania,35,21,0,2,1,5
Julian Weinberger,Austria,40,18,1,0,2,5
Luís Godinho,Portugal,39,16,0,0,0,5
Nenad Minakovic,Serbia,36,16,1,0,2,5
Michael Weiner,Germany,56,12,1,0,0,4
Terje Hauge,Norway,60,15,0,0,1,4
Pieter Vink,Netherlands,58,17,1,1,0,4
Daniel Stalhammar,Sweden,50,18,0,5,1,4
Antti Munukka,Finland,43,10,0,0,0,4
Antonio Damato,Italy,53,16,1,0,0,4
Menashe Mashiah,Israel,51,14,1,2,1,4
Stéphane Lannoy,France,56,18,0,0,1,4
Clayton Pisani,Malta,47,10,2,0,2,4
Tobias Welz,Germany,48,21,0,2,4,4
Bart Vertenten,Belgium,37,11,0,0,3,4
Andrew Dallas,Scotland,42,13,0,0,0,4
Petr Ardeleanu,Czech Republic,44,22,2,0,1,4
Rohit Saggi,Norway,33,21,2,0,1,4
Mykola Balakin,Ukraine,36,15,0,0,2,4
António Nobre,Portugal,36,11,0,0,1,4
John Brooks,England,0,11,0,0,0,4
Manfredas Lukjančukas,Lithuania,33,17,3,0,3,4
Marian Barbu,Romania,37,13,0,0,0,4
Vladimir Hrinak,Slovakia,0,8,0,0,1,3
Kostas Kapitanis,Cyprus,61,9,1,1,0,3
