name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Atilla Karaoğlan,Türkiye,39,21,0,0,1,4,Conference
Mohammed Al-Emara,Finland,33,22,2,0,2,4,Conference
Jérémie Pignard,France,38,17,1,0,0,4,Conference
Radoslav Gidzhenov,Bulgaria,34,15,1,1,0,4,Conference
Davide Massa,Italy,44,7,0,0,1,3,Conference
Marco Di Bello,Italy,44,18,2,1,0,3,Conference
Daniel Stefanski,Poland,48,7,1,1,0,3,Conference
Trustin Farrugia Cann,Malta,39,7,0,1,1,3,Conference
Ali Palabıyık,Türkiye,44,9,0,0,1,3,Conference
Stéphanie Frappart,France,41,9,0,0,2,3,Conference
Goga Kikacheishvili,Georgia,34,19,1,0,1,3,Conference
Fran Jovic,Croatia,41,13,1,0,1,3,Conference
Maurizio Mariani,Italy,43,11,0,0,1,3,Conference
Harald Lechner,Austria,43,4,0,1,0,3,Conference
Lawrence Visser,Belgium,35,12,1,1,0,3,Conference
Jakob Kehlet,Denmark,45,12,0,0,0,3,Conference
Anthony Taylor,England,46,11,0,2,1,3,Conference
Halil Umut Meler,Türkiye,39,22,1,0,2,3,Conference
Carlos del Cerro Grande,Spain,49,14,0,1,1,3,Conference
Michael Oliver,England,40,14,1,0,1,3,Conference
Sandro Schärer,Switzerland,37,15,0,0,1,3,Conference
Guillermo Cuadra Fernández,Spain,41,16,1,0,1,3,Conference
Philip Farrugia,Malta,37,12,1,0,0,3,Conference
Manfredas Lukjančukas,Lithuania,33,18,1,0,1,3,Conference
Daniele Chiffi,Italy,40,12,0,1,0,3,Conference
Tamás Bognár,Hungary,46,13,0,0,1,3,Conference
De Burgos Bengoetxea,Spain,39,9,0,0,2,3,Conference
Aleksey Kulbakov,Belarus,45,15,0,0,0,3,Conference
Felix Zwayer,Germany,44,17,1,0,2,3,Conference
Kristo Tohver,Estonia,44,13,0,0,0,3,Conference
Joey Kooij,Netherlands,33,23,0,0,2,3,Conference
Sven Jablonski,Germany,35,12,0,0,0,3,Conference
Vitalijs Spasjonnikovs,Latvia,39,9,0,0,1,3,Conference
Balázs Berke,Hungary,41,9,0,0,1,3,Conference
Ondrej Berka,Czech Republic,37,19,0,0,1,3,Conference
Nenad Minakovic,Serbia,36,13,0,1,0,3,Conference
David Smajc,Slovenia,36,13,0,0,0,3,Conference
